name,description,cost,price,stock,minStock,categoryId,barcode
Tornillo hexagonal 6x20mm,Tornillo de acero hexagonal 6x20mm,0.50,1.20,500,50,Ferretería,
Destornillador Phillips #2,Destornillador con punta Phillips número 2,8.50,15.90,25,5,Herramientas,
Martillo carpintero 16oz,Martillo de carpintero cabeza 16 onzas,12.00,22.50,15,3,Herramientas,
Pintura blanca vinílica 1L,Pintura vinílica color blanco 1 litro,18.50,28.90,30,5,Pintura,
Cemento Portland 50kg,Cemento Portland tipo I 50 kilogramos,8.90,12.50,100,10,Construcción,
Brocas para concreto set 5pz,Set de 5 brocas para perforar concreto,22.00,39.90,18,3,Herramientas,
Tubo PVC 4 pulgadas x 6m,Tubo PVC sanitario 4 pulgadas por 6 metros,45.00,68.50,20,3,Plomería,
Cable eléctrico 12 AWG x 100m,Cable eléctrico calibre 12 AWG rollo 100 metros,89.00,125.00,12,2,Electricidad,
Interruptor sencillo blanco,Interruptor sencillo color blanco 15 amperios,3.50,6.80,80,10,Electricidad,
Pegamento epóxico 50ml,Pegamento epóxico bicomponente 50 mililitros,12.50,19.90,40,5,Adhesivos,
Lija agua #220 pliego,Lija para agua grano 220 por pliego,2.80,4.50,200,20,Herramientas,
Candado seguridad 50mm,Candado de seguridad laminado 50 milimetros,25.00,38.90,30,5,Seguridad,
Bisagra puerta 3x3 pulgadas,Bisagra para puerta de 3x3 pulgadas,8.90,14.50,45,8,Herrajes,
Manija cromada para puerta,Manija cromada para puerta interior,35.00,52.90,25,3,Herrajes,
Válvula de bola 1/2 pulgada,Válvula de bola de bronce 1/2 pulgada,18.50,28.90,35,5,Plomería,
Foco LED 9W luz cálida,Foco LED 9 watts luz cálida E27,8.50,15.50,60,10,Iluminación,
Extensión eléctrica 5m,Extensión eléctrica polarizada 5 metros,28.00,42.90,20,3,Electricidad,
Guantes trabajo carnaza,Guantes de trabajo de carnaza reforzados,12.00,18.90,50,8,Seguridad,
Mascarilla N95 paquete 10,Mascarillas N95 certificadas paquete 10 piezas,45.00,65.00,40,5,Seguridad,
Metro medición 5m,Metro de medición retráctil 5 metros,18.50,28.90,35,5,Herramientas,
Nivel burbuja 60cm,Nivel de burbuja aluminio 60 centimetros,32.00,48.90,18,3,Herramientas,
Sierra segueta marco,Sierra segueta con marco metálico,22.50,35.90,25,4,Herramientas,
Prensa C 6 pulgadas,Prensa tipo C de 6 pulgadas,48.00,72.90,12,2,Herramientas,
Taladro eléctrico 1/2 pulgada,Taladro eléctrico mandril 1/2 pulgada,180.00,285.00,8,1,Herramientas,
Cinta aislante negra,Cinta aislante eléctrica color negro,3.50,6.50,100,15,Electricidad,
Tuerca hexagonal 6mm pack 50,Tuercas hexagonales 6mm paquete 50 piezas,8.90,14.50,80,10,Ferretería,
Arandela plana 6mm pack 100,Arandelas planas 6mm paquete 100 piezas,5.50,9.90,120,15,Ferretería,
Remache aluminio 4x10mm pack 50,Remaches de aluminio 4x10mm paquete 50,12.50,19.90,60,8,Ferretería,
Soldadura estaño 60/40 carrete,Soldadura de estaño 60/40 carrete 100g,35.00,52.90,15,2,Electricidad,
Flux para soldadura 30ml,Flux para soldadura en pasta 30ml,8.50,14.90,25,3,Electricidad,
Multímetro digital básico,Multímetro digital básico 600V,68.00,98.90,10,2,Herramientas,
Cautín eléctrico 40W,Cautín eléctrico 40 watts punta fina,18.50,29.90,20,3,Electricidad,
Cinta métrica 3m,Cinta métrica retráctil 3 metros,12.50,19.90,40,6,Herramientas,
Escuadra carpintero 12 pulgadas,Escuadra de carpintero 12 pulgadas,28.00,42.90,22,3,Herramientas,
Compás de puntas 6 pulgadas,Compás de puntas 6 pulgadas,35.00,52.90,15,2,Herramientas,
Lima triangular 8 pulgadas,Lima triangular bastarda 8 pulgadas,15.50,24.90,30,4,Herramientas,
Escofina plana 10 pulgadas,Escofina plana bastarda 10 pulgadas,18.50,28.90,25,3,Herramientas,
Cincel carpintero 1 pulgada,Cincel para carpintero 1 pulgada,22.00,34.90,20,3,Herramientas,
Formón carpintero 3/4 pulgada,Formón para carpintero 3/4 pulgada,25.50,38.90,18,2,Herramientas,
Garlopa manual 9 pulgadas,Garlopa manual número 4 de 9 pulgadas,85.00,128.90,8,1,Herramientas,
Serrucho carpintero 22 pulgadas,Serrucho para carpintero 22 pulgadas,45.00,68.90,12,2,Herramientas,
Cepillo carpintero #4,Cepillo para carpintero número 4,125.00,189.90,5,1,Herramientas,
Gramil carpintero ajustable,Gramil para carpintero ajustable,35.00,52.90,15,2,Herramientas,
Berbiquí con 6 brocas,Berbiquí manual con 6 brocas incluidas,68.00,98.90,8,1,Herramientas,
Tenaza electricista 8 pulgadas,Tenaza para electricista 8 pulgadas,32.00,48.90,20,3,Herramientas,
Alicate universal 6 pulgadas,Alicate universal 6 pulgadas,22.50,34.90,30,4,Herramientas,
Pinza presión 10 pulgadas,Pinza de presión 10 pulgadas,28.00,42.90,18,2,Herramientas,
Llave inglesa 10 pulgadas,Llave inglesa ajustable 10 pulgadas,35.50,54.90,15,2,Herramientas,
Llave francesa 12 pulgadas,Llave francesa ajustable 12 pulgadas,42.00,62.90,12,2,Herramientas,
Juego llaves combinadas 8-19mm,Juego de llaves combinadas 8 a 19mm,95.00,142.90,8,1,Herramientas,
Tubo cobre 1/2 pulgada x 6m,Tubo de cobre 1/2 pulgada por 6 metros,85.00,128.90,15,2,Plomería,
Codo cobre 1/2 pulgada 90°,Codo de cobre 1/2 pulgada 90 grados,8.50,14.50,60,8,Plomería,
Tee cobre 1/2 pulgada,Tee de cobre 1/2 pulgada,12.50,19.90,45,6,Plomería,
Soldadura plata 2% varilla,Soldadura de plata 2% en varilla,45.00,68.90,20,3,Plomería,
Pasta soldar cobre 100g,Pasta para soldar cobre 100 gramos,18.50,28.90,30,4,Plomería,
Soplete plomero portátil,Soplete portátil para plomero,125.00,189.90,6,1,Herramientas,
Cortatubos 1/8 a 1 pulgada,Cortatubos ajustable 1/8 a 1 pulgada,68.00,98.90,10,2,Herramientas,
Llave tubo Stillson 14 pulgadas,Llave para tubo Stillson 14 pulgadas,85.00,128.90,8,1,Herramientas,
Expansor tubería 1/2 a 2 pulgadas,Expansor para tubería 1/2 a 2 pulgadas,185.00,278.90,4,1,Herramientas,
Destapacaños ventosa 6 pulgadas,Destapacaños con ventosa 6 pulgadas,22.50,34.90,25,3,Plomería,
Sifón lavabo extensible,Sifón extensible para lavabo,35.00,52.90,20,3,Plomería,
Flotador tanque WC universal,Flotador universal para tanque WC,18.50,28.90,30,4,Plomería,
Válvula descarga tanque WC,Válvula de descarga para tanque WC,45.00,68.90,18,2,Plomería,
Empaque wax ring WC,Empaque wax ring para WC,12.50,19.90,40,5,Plomería,
Conector flexible 1/2 pulgada,Conector flexible 1/2 pulgada,15.50,24.90,35,5,Plomería,
Reductor PVC 4 a 2 pulgadas,Reductor PVC de 4 a 2 pulgadas,8.90,14.50,50,6,Plomería,
Codo PVC 2 pulgadas 90°,Codo PVC 2 pulgadas 90 grados,5.50,9.50,80,10,Plomería,
Tee PVC 2 pulgadas,Tee PVC de 2 pulgadas,7.80,12.90,60,8,Plomería,
Tapón PVC 2 pulgadas,Tapón PVC de 2 pulgadas,4.50,7.90,70,10,Plomería,
Pegamento PVC 250ml,Pegamento para PVC 250 mililitros,28.00,42.90,25,3,Adhesivos,
Limpiador PVC 250ml,Limpiador para PVC 250 mililitros,22.50,34.90,30,4,Limpieza,
Teflón fontanero rollo,Teflón para fontanero en rollo,3.50,6.50,100,15,Plomería,
Estopa fontanero 100g,Estopa para fontanero 100 gramos,8.50,14.50,50,8,Plomería,
Llave paso 1/2 pulgada,Llave de paso 1/2 pulgada,25.00,38.90,25,3,Plomería,
Medidor agua 1/2 pulgada,Medidor de agua 1/2 pulgada,85.00,128.90,8,1,Plomería,
Registro angular 1/2 pulgada,Registro angular 1/2 pulgada,18.50,28.90,30,4,Plomería,
Manguera jardín 1/2 pulgada x 30m,Manguera para jardín 1/2 pulgada 30 metros,125.00,189.90,12,2,Jardín,
Conector manguera plástico,Conector para manguera de plástico,8.50,14.50,40,6,Jardín,
Pistola riego 5 posiciones,Pistola de riego 5 posiciones,22.50,34.90,25,3,Jardín,
Rociador pasto 360° metálico,Rociador para pasto 360 grados metálico,35.00,52.90,18,2,Jardín,
Tijeras podar 8 pulgadas,Tijeras para podar 8 pulgadas,32.00,48.90,20,3,Jardín,
Rastrillo metálico 14 dientes,Rastrillo metálico de 14 dientes,28.50,42.90,15,2,Jardín,
Pala jardinero mango madera,Pala para jardinero mango de madera,45.00,68.90,12,2,Jardín,
Azadón jardinero 6 pulgadas,Azadón para jardinero 6 pulgadas,38.50,58.90,15,2,Jardín,
Carretilla metálica 90 litros,Carretilla metálica capacidad 90 litros,185.00,278.90,5,1,Jardín,
Manguera nivel transparente 10m,Manguera de nivel transparente 10 metros,22.50,34.90,20,3,Herramientas,
Plomada albañil 500g,Plomada para albañil 500 gramos,18.50,28.90,25,3,Herramientas,
Hilo albañil 200m amarillo,Hilo para albañil 200 metros amarillo,12.50,19.90,40,5,Construcción,
Llana dentada 6mm,Llana dentada 6 milimetros,35.00,52.90,18,2,Construcción,
Paleta albañil 10 pulgadas,Paleta para albañil 10 pulgadas,28.50,42.90,20,3,Construcción,
Bote mezcla 90 litros,Bote para mezcla 90 litros,68.00,98.90,10,2,Construcción,
Pico cavador mango madera,Pico cavador mango de madera,58.00,88.90,8,1,Construcción,
Mazo goma 2 libras,Mazo de goma 2 libras,32.50,48.90,15,2,Herramientas,
Cuña albañil metálica,Cuña para albañil metálica,8.50,14.50,50,8,Construcción,
Regla aluminio 2m,Regla de aluminio 2 metros,45.00,68.90,12,2,Construcción,
Flexómetro 5m cinta acero,Flexómetro 5 metros cinta de acero,25.50,38.90,30,4,Herramientas,
Cordel albañil 100m blanco,Cordel para albañil 100 metros blanco,15.50,24.90,35,5,Construcción,
Escantillón madera 3m,Escantillón de madera 3 metros,22.50,34.90,18,2,Construcción,
Pisón manual 15kg,Pisón manual 15 kilogramos,125.00,189.90,6,1,Construcción,
Malla gallinero 1m x 25m,Malla tipo gallinero 1 metro por 25 metros,85.00,128.90,8,1,Construcción